Dimension
0,
1,0
2,1
241,1
292,1
295,1
312,1
314,1
3,2
37,2
4,3
8,3
11,3
15,3
24,3
26,3
35,3
5,4
6,4
7,4
9,8
10,8
12,11
13,11
14,11
16,15
17,15
18,15
19,15
20,15
21,15
22,15
23,15
25,24
27,26
28,26
29,26
30,26
31,26
32,26
33,26
34,26
36,35
38,37
74,37
39,38
40,38
41,38
42,38
43,38
44,38
45,38
46,38
48,38
47,46
49,48
50,48
51,48
52,48
53,48
54,48
55,48
56,48
57,48
58,48
59,48
60,48
61,48
62,48
63,48
64,48
65,48
66,48
67,48
68,48
69,48
70,48
71,48
72,48
73,48
75,74
78,74
83,74
125,74
144,74
168,74
188,74
201,74
76,75
77,75
79,78
80,79
81,79
82,79
84,83
86,83
88,83
91,83
95,83
102,83
111,83
119,83
121,83
85,84
87,86
89,88
90,88
92,91
93,91
94,91
96,95
97,95
98,95
99,95
100,95
101,95
103,102
104,102
105,102
106,102
107,102
108,102
109,102
110,102
112,111
113,111
114,111
115,111
116,111
117,111
118,111
120,119
122,121
123,121
124,121
126,125
137,125
143,125
127,126
128,126
129,126
130,126
131,126
132,126
133,126
134,126
135,126
136,126
138,137
139,137
140,137
141,137
142,137
145,144
149,144
159,144
146,145
147,145
148,145
150,149
151,149
152,149
153,149
154,149
155,149
156,149
157,149
158,149
160,159
161,159
162,159
163,159
164,159
165,159
166,159
167,159
169,168
170,168
185,168
171,170
172,170
173,170
174,170
175,170
176,170
177,170
178,170
179,170
180,170
181,170
182,170
183,170
184,170
186,185
187,185
189,188
190,188
191,190
192,190
193,190
194,190
195,190
196,190
197,190
198,190
199,190
200,190
202,201
203,201
204,201
233,201
235,201
205,204
206,204
207,204
208,204
209,204
210,204
211,204
212,204
213,204
214,204
215,204
216,204
217,204
218,204
219,204
220,204
221,204
222,204
223,204
224,204
225,204
226,204
227,204
228,204
229,204
230,204
231,204
232,204
234,233
236,235
237,235
238,235
239,235
240,235
242,241
243,241
244,241
245,241
246,241
247,241
248,241
249,241
250,241
251,241
252,241
253,241
254,241
255,241
256,241
257,241
258,241
259,241
260,241
261,241
262,241
263,241
264,241
265,241
266,241
267,241
268,241
269,241
270,241
271,241
272,241
273,241
274,241
275,241
276,241
277,241
278,241
279,241
280,241
281,241
282,241
283,241
284,241
285,241
286,241
287,286
288,286
289,286
290,286
291,286
293,292
294,292
296,295
300,295
301,295
302,295
305,295
306,295
309,295
297,296
298,296
299,296
303,302
304,302
307,306
308,306
310,309
311,309
313,312
315,314
316,314
320,314
323,314
326,314
328,314
330,314
341,314
317,316
318,316
319,316
321,320
322,320
324,323
325,323
327,326
329,328
331,330
332,330
333,330
334,330
335,330
336,330
337,330
338,330
339,330
340,330
342,341
343,341
344,341
345,341

Dimension
0,
1,0
2,1
6,1
11,1
30,1
3,2
4,2
5,2
7,6
8,7
9,7
10,7
12,11
16,11
20,11
23,11
26,11
28,11
13,12
14,12
15,12
17,16
18,16
19,16
21,20
22,20
24,23
25,23
27,26
29,28
31,30
34,30
37,30
39,30
51,30
59,30
32,31
33,31
35,34
36,34
38,37
40,39
41,39
42,39
43,39
44,39
45,39
46,39
47,39
48,39
49,39
50,39
52,51
53,51
54,51
55,51
56,51
57,51
58,51
60,59
61,59
62,59

Dimension
0,
1,0
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,1

Dimension
0,
1,0
2,1
24,1
87,1
127,1
128,1
3,2
4,2
5,4
6,4
7,4
8,4
9,4
10,4
11,4
12,4
13,4
14,4
15,4
16,4
17,4
18,4
19,4
20,4
21,4
22,4
23,4
25,24
47,24
57,24
26,25
27,25
28,25
46,25
29,28
30,28
31,28
32,28
33,28
34,28
35,28
36,28
37,28
38,28
39,28
40,28
41,28
42,28
43,28
44,28
45,28
48,47
54,47
49,48
50,48
51,48
52,48
53,48
55,54
56,54
58,57
59,57
60,57
61,57
65,57
76,57
85,57
86,57
62,61
63,61
64,61
66,65
67,65
68,65
69,65
70,65
71,65
72,65
73,65
74,65
75,65
77,76
78,76
79,76
80,76
81,76
82,76
83,76
84,76
88,87
91,87
115,87
89,88
90,88
92,91
104,91
93,92
94,92
95,92
96,92
97,92
98,92
99,92
100,92
101,92
102,92
103,92
105,104
106,104
107,104
108,104
109,104
110,104
111,104
112,104
113,104
114,104
116,115
117,116
118,116
119,116
120,116
121,116
122,116
123,116
124,116
125,116
126,116

Dimension
0,
1,0
2,1
3,1
4,1

Dimension
0,
1,0
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1

Dimension
0,
1,0
2,1
3,1
4,1
5,1
6,1
7,1
